l79,tp,ti,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,journal publication very likely this reference is credible,this evidence provides support for a virtually certain relationship between the two nodes,I am likely confident with this concept,j24
l80,tp,ti,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,governmental report is very likely credible,this evidence provides support for a likely relationship between the two nodes,I am likely confident with this concept,gr12
l78,tp,ti,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,Regulatory document very likely credible,this evidence provides support for a likely relationship between the two nodes,I am likely confident with this concept,gr12
l76,tna,pd,UNIFORM,0.991,0.999,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,Very high journal impact factor virtually certainly credible,most important step indicates virtually certain causality,I am likely confident with this concept,gr9
l75,tna,pd,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,journal publication very likely this reference is credible,the concept is definitional and supported by multiple references it is very likely this relationship is confirmed,I am likely confident with this concept,gr9
l77,tna,pd,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,This international governmental document is very likely credible,this document says that training needs need to be incorporated into pd,I am likely confident with this concept,gr9
l73,str,tp,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,Internationally recognized standards,this evidence provides support for a very likely relationship between the two nodes,I am likely confident with this concept,gr9
l72,str,tp,UNIFORM,0.991,0.999,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,industry document management system very likely credible,this evidence provides support for a virtually certain relationship between the two nodes,I am likely confident with this concept,gr10
l74,str,tp,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,Government report,this evidence supports a virtually certain relationship between the two nodes,I am likely confident with this concept,gr10
l71,set,tp,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,highly cited book very likely credible,this evidence provides support for a very likely relationship between the two nodes,I am likely confident with this concept,gr10
l69,set,tp,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,Internationally recognized standards,this evidence provides virtually certain evidence that training set influences tp effectiveness,I am likely confident with this concept,j23
l70,set,tp,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,this industry document is very likely credible,Evidence indicates that training set very likely influences the quality of tp given different learning objectives,I am likely confident with this concept,j23
l68,set,tp,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,very likely credible journal paper,this evidence provides support for a very likely relationship between the two nodes,I am likely confident with this concept,b4
l65,seq,tp,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,Government report,this evidence provides support for a very likely relationship between the two nodes,I am likely confident with this concept,b4
l67,seq,tp,UNIFORM,0.9,0.99,UNIFORM,0.6,0.96,UNIFORM,0.6,0.96,Internationally recognized standards,this evidence provides support for a very likely relationship between the two nodes,I am likely confident with this concept,b3
